headline_1_words,headline_1_count,pros_1_words,pros_1_count,cons_1_words,cons_1_count,headline_2_words,headline_2_count,pros_2_words,pros_2_count,cons_2_words,cons_2_count,headline_3_words,headline_3_count,pros_3_words,pros_3_count,cons_3_words,cons_3_count,headline_4_words,headline_4_count,pros_4_words,pros_4_count,cons_4_words,cons_4_count,headline_5_words,headline_5_count,pros_5_words,pros_5_count,cons_5_words,cons_5_count
disappointing,21,4,55,2,172,paid,28,level,70,issues,150,friendly,75,want,202,without,288,compensation,100,senior,327,still,381,super,80,senior,362,different,316
say,21,see,55,top,170,eh,28,firm,70,turnover,150,organization,75,paced,201,done,287,cons,99,products,324,boring,380,far,79,inclusion,359,every,311
even,21,sometimes,54,customer,166,employer,28,insurance,70,months,149,change,75,security,199,stress,285,industry,98,worked,321,different,380,na,78,overall,354,expected,308
rude,21,large,54,opportunities,166,never,28,wage,69,expect,148,tough,74,knowledge,199,everything,284,global,98,overtime,321,stress,379,challenging,78,available,346,moment,307
business,21,available,53,often,165,pwc,28,security,69,processes,148,difficult,73,shift,198,processes,284,atmosphere,97,network,321,heavy,377,highly,78,first,345,structure,307
training,21,skills,52,another,164,opportunity,27,help,69,help,147,support,72,worked,198,days,282,tech,97,international,320,firm,376,services,77,paid,344,found,305
associate,21,members,50,help,163,student,27,market,69,put,147,office,71,long,196,quite,280,mcdonald,97,develop,318,hikes,375,happy,75,products,339,days,300
unless,20,worst,50,change,163,easy,27,supportive,68,days,144,starter,71,one,196,given,279,pros,89,fair,316,needs,373,oracle,75,plenty,337,training,294
first,20,help,50,communication,163,difficult,27,bad,68,sometimes,144,solid,71,generally,194,competitive,279,make,88,security,306,companies,371,year,74,coworkers,336,bureaucracy,293
nightmare,20,holidays,49,end,162,consultant,27,facilities,67,anything,143,pretty,71,firm,194,average,279,alright,87,young,305,focus,369,mcdonalds,74,technologies,335,manager,288
back,20,also,49,sales,162,need,26,service,66,give,142,bank,71,network,192,go,278,project,87,every,304,employee,368,interesting,73,leave,333,mind,288
cost,20,service,49,feel,161,new,26,within,66,end,141,challenging,70,level,191,industry,276,brand,87,top,302,progress,367,students,73,firm,332,issues,279
firm,20,always,49,week,160,room,26,able,64,getting,140,short,70,every,189,based,274,level,86,service,302,depending,367,pretty,73,take,332,leadership,278
diversity,20,shifts,49,making,160,corporate,26,years,63,left,139,tech,69,care,186,especially,272,values,86,want,302,fast,366,inclusive,72,collaborative,330,within,275
consulting,20,gym,49,bonus,159,development,26,world,63,everyone,139,industry,69,leadership,183,higher,270,skills,85,world,295,every,366,global,72,money,323,hike,275
zero,20,holiday,49,jobs,158,full,26,young,62,top,139,crew,69,service,180,expectations,266,strong,85,awesome,293,technology,363,mcdonald,71,workplace,316,right,273
well,19,got,49,going,157,worked,26,competitive,62,2,138,software,68,project,178,progress,264,tough,83,days,292,rude,362,would,70,role,315,late,272
treatment,19,overtime,48,us,155,make,25,move,62,treated,136,right,67,package,177,extremely,264,university,83,customer,291,tough,357,build,70,pandemic,315,takes,271
poorly,19,wage,47,person,154,tough,25,offices,61,especially,136,managers,66,lovely,177,expect,258,competitive,82,first,291,find,352,intern,70,covid,311,opportunity,264
number,19,growth,47,getting,154,else,25,year,61,market,136,really,65,insurance,175,corporate,256,term,82,much,290,sales,352,exciting,69,progress,311,roles,263
apply,19,role,46,old,154,back,24,workers,61,compensation,136,financial,65,etc,174,end,255,year,81,day,289,performance,349,data,67,organization,310,want,262
less,19,professional,46,based,154,away,24,average,61,awful,135,department,64,customer,174,salaries,252,sap,81,shifts,289,higher,348,enjoyable,67,knowledge,309,bonus,262
india,19,compensation,46,firm,154,way,24,sometimes,60,say,134,worth,64,facilities,173,money,250,lovely,80,paced,288,way,347,bank,67,community,308,depends,261
pwc,19,coffee,46,away,153,level,24,could,60,promotions,134,project,64,resume,173,short,250,services,80,positive,287,short,345,5,66,service,307,salaries,261
crap,18,industry,45,role,153,technology,24,access,59,making,134,nothing,64,industries,172,focus,249,busy,79,personal,285,days,345,progression,66,leaders,305,old,261
pressure,18,products,45,skills,153,sucks,24,atmosphere,59,shifts,133,tax,64,busy,167,hikes,249,college,79,role,283,challenging,345,make,65,caring,301,weekends,260
organisation,18,part,45,performance,152,workplace,23,variety,59,actually,133,amazing,63,holiday,165,leave,247,research,79,customers,283,late,342,tax,65,tech,299,keep,259
name,17,companies,45,store,152,stone,23,etc,59,still,133,limited,63,challenging,165,roles,247,na,79,project,281,say,341,technology,64,employer,296,heavy,258
wage,17,market,45,shift,152,mixed,23,also,59,worst,131,paid,62,move,165,issues,246,less,79,policies,281,especially,341,industry,64,package,293,easy,258
value,17,young,44,diversity,152,think,23,companies,59,structure,131,year,62,world,163,different,244,leadership,79,stable,279,tech,340,truly,64,innovative,293,everyone,257
unethical,17,senior,44,great,152,disappointing,23,holiday,58,department,130,would,62,access,162,back,244,flexibility,79,discounts,278,want,339,4,64,wonderful,292,tech,257
customer,17,year,44,service,151,value,23,else,58,3,129,make,62,also,162,technology,243,tesco,79,access,278,paid,337,caring,63,even,291,location,257
negative,17,global,44,stay,149,typical,23,members,58,limited,128,entry,62,technologies,161,toxic,242,enjoyable,78,across,278,done,337,nhs,63,room,291,rude,256
crew,17,used,43,system,148,zero,22,meals,58,overworked,127,typical,61,members,156,promoted,242,room,77,lovely,277,repetitive,334,project,62,fair,290,firm,255
oracle,17,start,43,call,148,everyone,22,customer,58,colleagues,127,engineer,61,internal,156,constant,242,specialist,77,companies,277,client,334,paced,62,schedule,289,paced,251
plague,16,provided,43,overtime,147,name,22,right,57,health,127,times,60,role,155,everyone,241,need,75,take,276,know,331,internship,62,start,288,higher,251
anyone,16,helpful,43,lots,147,stepping,22,lunch,57,around,127,colleagues,60,options,154,around,240,money,74,long,276,demanding,324,flexibility,62,companies,288,organisation,251
day,16,need,43,actually,146,join,22,every,57,promoted,127,excellent,60,year,153,getting,238,want,74,pretty,274,top,322,recommended,60,paced,287,depending,250
fast,16,little,42,projects,146,hr,22,4,57,systems,126,way,60,holidays,151,customer,235,advisory,74,workplace,274,organization,320,diverse,60,year,285,small,249
look,16,canteen,42,run,145,right,22,holidays,56,firm,126,underpaid,59,family,151,still,233,limited,73,facilities,273,room,318,starting,60,truly,283,also,247
opportunities,16,terrible,42,hour,143,know,21,progression,56,keep,125,technology,59,market,149,heavy,233,financial,73,ability,273,expectations,311,always,60,ever,280,support,247
organization,16,schedule,41,process,143,times,21,made,56,upper,124,boring,58,provided,149,turnover,233,projects,73,insurance,273,small,311,personal,59,move,276,stress,244
audit,16,everyone,41,last,142,internal,21,international,56,unless,124,worst,58,offices,148,making,232,develop,73,room,270,political,307,want,59,long,273,corporate,244
lots,16,within,41,workload,141,analyst,21,industries,56,told,124,one,57,workers,148,think,230,world,73,level,269,issues,306,still,59,level,270,sales,244
engineer,16,offices,40,targets,141,limited,21,busy,55,hour,124,paced,56,companies,148,may,230,developer,73,etc,267,travel,306,marketing,58,communication,268,learning,243
absolutely,16,store,40,anyone,141,longer,21,overall,55,skills,124,pressure,56,social,147,systems,227,stone,72,name,266,systems,303,corporate,58,way,268,communication,241
far,16,awful,40,development,141,colleagues,21,client,55,higher,123,services,56,ability,147,needs,226,position,72,benefit,263,go,301,tesco,58,etc,268,across,241
made,16,able,40,promotion,140,top,21,network,55,leaders,122,tesco,55,benefit,146,store,226,nhs,72,years,261,everything,300,innovative,57,focused,268,development,240
